timestamp,gpu,power_w
2026-02-06 17:53:35.031669,0,9.64
2026-02-06 17:53:35.068397,0,9.94
2026-02-06 17:53:35.108505,0,9.84
2026-02-06 17:53:35.146757,0,10.23
2026-02-06 17:53:35.186296,0,9.94
2026-02-06 17:53:35.225684,0,10.03
2026-02-06 17:53:35.263703,0,9.64
2026-02-06 17:53:35.301333,0,9.84
2026-02-06 17:53:35.340572,0,9.94
2026-02-06 17:53:35.378596,0,10.43
2026-02-06 17:53:35.418334,0,9.74
2026-02-06 17:53:35.457669,0,10.03
2026-02-06 17:53:35.498271,0,9.74
2026-02-06 17:53:35.537494,0,9.84
2026-02-06 17:53:35.576245,0,9.94
2026-02-06 17:53:35.614841,0,9.64
2026-02-06 17:53:35.654436,0,10.13
2026-02-06 17:53:35.693254,0,9.84
2026-02-06 17:53:35.733932,0,9.74
2026-02-06 17:53:35.772720,0,10.13
2026-02-06 17:53:35.812796,0,10.03
2026-02-06 17:53:35.853263,0,10.72
2026-02-06 17:53:35.894649,0,9.74
2026-02-06 17:53:35.935590,0,9.84
2026-02-06 17:53:35.974652,0,9.64
2026-02-06 17:53:36.013448,0,9.84
2026-02-06 17:53:36.051640,0,9.84
2026-02-06 17:53:36.091275,0,9.94
2026-02-06 17:53:36.131006,0,9.74
2026-02-06 17:53:36.170238,0,9.94
2026-02-06 17:53:36.209753,0,9.84
2026-02-06 17:53:36.250396,0,9.94
2026-02-06 17:53:36.290245,0,9.74
2026-02-06 17:53:36.329539,0,9.94
2026-02-06 17:53:36.368636,0,9.64
2026-02-06 17:53:36.408395,0,9.84
2026-02-06 17:53:36.449301,0,10.23
2026-02-06 17:53:36.488096,0,10.13
2026-02-06 17:53:36.526628,0,9.84
2026-02-06 17:53:36.566657,0,9.74
2026-02-06 17:53:36.604399,0,9.94
2026-02-06 17:53:36.642768,0,9.64
2026-02-06 17:53:36.682128,0,9.84
2026-02-06 17:53:36.720711,0,9.54
2026-02-06 17:53:36.760003,0,9.64
2026-02-06 17:53:36.800030,0,10.03
2026-02-06 17:53:36.839394,0,11.90
2026-02-06 17:53:36.889519,0,10.03
2026-02-06 17:53:36.928805,0,9.64
2026-02-06 17:53:36.969125,0,9.64
2026-02-06 17:53:37.008660,0,9.93
2026-02-06 17:53:37.048550,0,9.54
2026-02-06 17:53:37.088552,0,9.64
2026-02-06 17:53:37.126105,0,10.03
2026-02-06 17:53:37.163260,0,10.03
2026-02-06 17:53:37.200182,0,9.84
2026-02-06 17:53:37.238761,0,9.74
2026-02-06 17:53:37.276949,0,9.93
2026-02-06 17:53:37.315646,0,9.74
2026-02-06 17:53:37.353256,0,11.70
2026-02-06 17:53:37.407932,0,50.59
2026-02-06 17:53:37.451743,0,57.36
