timestamp,gpu,power_w
2026-02-06 17:47:36.735686,0,9.54
2026-02-06 17:47:36.771979,0,9.44
2026-02-06 17:47:36.810667,0,10.03
2026-02-06 17:47:36.850944,0,9.84
2026-02-06 17:47:36.891950,0,9.74
2026-02-06 17:47:36.931046,0,9.44
2026-02-06 17:47:36.972303,0,9.35
2026-02-06 17:47:37.010538,0,9.35
2026-02-06 17:47:37.048355,0,9.74
2026-02-06 17:47:37.086026,0,9.64
2026-02-06 17:47:37.123356,0,9.35
2026-02-06 17:47:37.160956,0,9.35
2026-02-06 17:47:37.201577,0,9.25
2026-02-06 17:47:37.240980,0,9.44
2026-02-06 17:47:37.279647,0,9.64
2026-02-06 17:47:37.318694,0,9.74
2026-02-06 17:47:37.357308,0,9.44
2026-02-06 17:47:37.396396,0,10.82
2026-02-06 17:47:37.435973,0,9.64
2026-02-06 17:47:37.473636,0,9.74
2026-02-06 17:47:37.512072,0,9.35
2026-02-06 17:47:37.549922,0,9.35
2026-02-06 17:47:37.589031,0,9.44
2026-02-06 17:47:37.627669,0,10.13
2026-02-06 17:47:37.666592,0,9.84
2026-02-06 17:47:37.705726,0,9.35
2026-02-06 17:47:37.746034,0,9.44
2026-02-06 17:47:37.781984,0,9.35
2026-02-06 17:47:37.819862,0,9.54
2026-02-06 17:47:37.857838,0,9.84
2026-02-06 17:47:37.894750,0,9.44
2026-02-06 17:47:37.933006,0,9.54
2026-02-06 17:47:37.971993,0,9.35
2026-02-06 17:47:38.011537,0,9.64
2026-02-06 17:47:38.050011,0,9.94
2026-02-06 17:47:38.090202,0,9.64
2026-02-06 17:47:38.129182,0,9.54
2026-02-06 17:47:38.168622,0,9.25
2026-02-06 17:47:38.207401,0,9.35
2026-02-06 17:47:38.248741,0,10.13
2026-02-06 17:47:38.289396,0,9.35
2026-02-06 17:47:38.329170,0,9.54
2026-02-06 17:47:38.366932,0,9.35
2026-02-06 17:47:38.406942,0,10.43
2026-02-06 17:47:38.455599,0,10.23
2026-02-06 17:47:38.493834,0,9.44
2026-02-06 17:47:38.532752,0,9.44
2026-02-06 17:47:38.573236,0,9.64
2026-02-06 17:47:38.613006,0,9.64
2026-02-06 17:47:38.651260,0,10.23
2026-02-06 17:47:38.690733,0,9.54
