timestamp,gpu,power_w
2026-02-05 02:13:59.322352,0,10.23
2026-02-05 02:13:59.322352,1,9.44
2026-02-05 02:13:59.401343,0,10.23
2026-02-05 02:13:59.401343,1,9.73
2026-02-05 02:13:59.481010,0,10.03
2026-02-05 02:13:59.481010,1,10.42
2026-02-05 02:13:59.562347,0,9.94
2026-02-05 02:13:59.562347,1,9.34
2026-02-05 02:13:59.641497,0,9.84
2026-02-05 02:13:59.641497,1,9.25
2026-02-05 02:13:59.721222,0,10.03
2026-02-05 02:13:59.721222,1,9.54
2026-02-05 02:13:59.801447,0,9.64
2026-02-05 02:13:59.801447,1,9.44
2026-02-05 02:13:59.882424,0,9.84
2026-02-05 02:13:59.882424,1,10.23
2026-02-05 02:13:59.963182,0,9.94
2026-02-05 02:13:59.963182,1,9.54
2026-02-05 02:14:00.044069,0,9.84
2026-02-05 02:14:00.044069,1,9.74
2026-02-05 02:14:00.125398,0,9.94
2026-02-05 02:14:00.125398,1,9.64
2026-02-05 02:14:00.206339,0,9.84
2026-02-05 02:14:00.206339,1,9.73
2026-02-05 02:14:00.286423,0,10.62
2026-02-05 02:14:00.286423,1,10.82
2026-02-05 02:14:00.364654,0,10.03
2026-02-05 02:14:00.364654,1,9.74
2026-02-05 02:14:00.442377,0,10.62
2026-02-05 02:14:00.442377,1,16.71
2026-02-05 02:14:00.527307,0,9.94
2026-02-05 02:14:00.527307,1,9.83
2026-02-05 02:14:00.606950,0,9.74
2026-02-05 02:14:00.606950,1,9.54
2026-02-05 02:14:00.688104,0,9.74
2026-02-05 02:14:00.688104,1,9.93
2026-02-05 02:14:00.767552,0,9.74
2026-02-05 02:14:00.767552,1,9.64
2026-02-05 02:14:00.848502,0,9.74
2026-02-05 02:14:00.848502,1,9.34
2026-02-05 02:14:00.928750,0,10.03
2026-02-05 02:14:00.928750,1,9.54
2026-02-05 02:14:01.008052,0,10.03
2026-02-05 02:14:01.008052,1,9.73
2026-02-05 02:14:01.088861,0,9.84
2026-02-05 02:14:01.088861,1,9.84
2026-02-05 02:14:01.168379,0,9.74
2026-02-05 02:14:01.168379,1,9.83
2026-02-05 02:14:01.247558,0,10.03
2026-02-05 02:14:01.247558,1,9.44
2026-02-05 02:14:01.327355,0,10.33
2026-02-05 02:14:01.327355,1,9.93
2026-02-05 02:14:01.405938,0,9.74
2026-02-05 02:14:01.405938,1,10.03
2026-02-05 02:14:01.484151,0,10.03
2026-02-05 02:14:01.484151,1,10.82
2026-02-05 02:14:01.564269,0,9.74
2026-02-05 02:14:01.564269,1,9.93
2026-02-05 02:14:01.643638,0,10.43
2026-02-05 02:14:01.643638,1,10.42
2026-02-05 02:14:01.736598,0,57.16
2026-02-05 02:14:01.736598,1,9.63
2026-02-05 02:14:01.813382,0,57.94
2026-02-05 02:14:01.813382,1,10.02
2026-02-05 02:14:01.889867,0,57.85
2026-02-05 02:14:01.889867,1,10.02
2026-02-05 02:14:01.968687,0,57.94
2026-02-05 02:14:01.968687,1,10.12
2026-02-05 02:14:02.047263,0,58.14
2026-02-05 02:14:02.047263,1,9.34
2026-02-05 02:14:02.124837,0,58.14
2026-02-05 02:14:02.124837,1,9.83
2026-02-05 02:14:02.203681,0,58.04
2026-02-05 02:14:02.203681,1,9.83
2026-02-05 02:14:02.283288,0,58.04
2026-02-05 02:14:02.283288,1,9.53
2026-02-05 02:14:02.363148,0,59.51
2026-02-05 02:14:02.363148,1,9.92
2026-02-05 02:14:02.444122,0,59.12
2026-02-05 02:14:02.444122,1,9.53
2026-02-05 02:14:02.524928,0,59.61
2026-02-05 02:14:02.524928,1,9.63
2026-02-05 02:14:02.605136,0,59.61
2026-02-05 02:14:02.605136,1,11.70
2026-02-05 02:14:02.686956,0,59.70
2026-02-05 02:14:02.686956,1,9.92
2026-02-05 02:14:02.767347,0,59.41
2026-02-05 02:14:02.767347,1,9.53
2026-02-05 02:14:02.845570,0,59.21
2026-02-05 02:14:02.845570,1,9.53
2026-02-05 02:14:02.925333,0,59.21
2026-02-05 02:14:02.925333,1,9.53
2026-02-05 02:14:03.005759,0,59.31
2026-02-05 02:14:03.005759,1,9.34
2026-02-05 02:14:03.086152,0,70.29
2026-02-05 02:14:03.086152,1,9.53
2026-02-05 02:14:03.166127,0,101.98
2026-02-05 02:14:03.166127,1,9.62
2026-02-05 02:14:03.246395,0,109.01
2026-02-05 02:14:03.246395,1,9.43
2026-02-05 02:14:03.326268,0,110.78
2026-02-05 02:14:03.326268,1,9.33
2026-02-05 02:14:03.406780,0,125.35
2026-02-05 02:14:03.406780,1,9.43
2026-02-05 02:14:03.487068,0,133.94
2026-02-05 02:14:03.487068,1,10.50
2026-02-05 02:14:03.562716,0,154.30
2026-02-05 02:14:03.562716,1,9.91
2026-02-05 02:14:03.639978,0,136.60
2026-02-05 02:14:03.639978,1,11.09
2026-02-05 02:14:03.718373,0,158.27
2026-02-05 02:14:03.718373,1,9.91
2026-02-05 02:14:03.796166,0,134.41
2026-02-05 02:14:03.796166,1,9.42
2026-02-05 02:14:03.873298,0,143.92
2026-02-05 02:14:03.873298,1,9.71
2026-02-05 02:14:03.952697,0,165.76
2026-02-05 02:14:03.952697,1,9.42
2026-02-05 02:14:04.032593,0,134.40
2026-02-05 02:14:04.032593,1,9.42
2026-02-05 02:14:04.112933,0,141.28
2026-02-05 02:14:04.112933,1,9.52
2026-02-05 02:14:04.193002,0,154.74
2026-02-05 02:14:04.193002,1,9.71
2026-02-05 02:14:04.274144,0,140.88
2026-02-05 02:14:04.274144,1,9.81
2026-02-05 02:14:04.353515,0,138.99
2026-02-05 02:14:04.353515,1,9.52
2026-02-05 02:14:04.433404,0,150.38
2026-02-05 02:14:04.433404,1,9.32
2026-02-05 02:14:04.514653,0,139.27
2026-02-05 02:14:04.514653,1,10.30
2026-02-05 02:14:04.593894,0,135.78
2026-02-05 02:14:04.593894,1,13.74
2026-02-05 02:14:04.677381,0,155.76
2026-02-05 02:14:04.677381,1,9.91
2026-02-05 02:14:04.755276,0,132.25
2026-02-05 02:14:04.755276,1,9.62
2026-02-05 02:14:04.833849,0,144.81
2026-02-05 02:14:04.833849,1,9.52
2026-02-05 02:14:04.915341,0,159.01
2026-02-05 02:14:04.915341,1,9.81
2026-02-05 02:14:04.994813,0,133.35
2026-02-05 02:14:04.994813,1,9.91
2026-02-05 02:14:05.074915,0,139.12
2026-02-05 02:14:05.074915,1,9.91
2026-02-05 02:14:05.155166,0,154.22
2026-02-05 02:14:05.155166,1,9.71
2026-02-05 02:14:05.234654,0,147.80
2026-02-05 02:14:05.234654,1,9.42
2026-02-05 02:14:05.315007,0,136.95
2026-02-05 02:14:05.315007,1,10.01
2026-02-05 02:14:05.395094,0,147.95
2026-02-05 02:14:05.395094,1,9.52
2026-02-05 02:14:05.475126,0,167.03
2026-02-05 02:14:05.475126,1,10.40
2026-02-05 02:14:05.555865,0,75.93
2026-02-05 02:14:05.555865,1,9.43
2026-02-05 02:14:05.636209,0,75.43
2026-02-05 02:14:05.636209,1,10.02
2026-02-05 02:14:05.715697,0,75.34
2026-02-05 02:14:05.715697,1,9.53
2026-02-05 02:14:05.795836,0,75.43
2026-02-05 02:14:05.795836,1,9.33
2026-02-05 02:14:05.876660,0,75.27
2026-02-05 02:14:05.876660,1,9.73
2026-02-05 02:14:05.956199,0,75.27
2026-02-05 02:14:05.956199,1,9.63
2026-02-05 02:14:06.036195,0,75.15
2026-02-05 02:14:06.036195,1,9.63
2026-02-05 02:14:06.116413,0,75.06
