timestamp,gpu,power_w
2026-02-05 02:07:38.701709,0,10.62
2026-02-05 02:07:38.701709,1,9.73
2026-02-05 02:07:38.830127,0,10.42
2026-02-05 02:07:38.830127,1,9.83
2026-02-05 02:07:38.960841,0,10.42
2026-02-05 02:07:38.960841,1,9.54
2026-02-05 02:07:39.092631,0,10.81
2026-02-05 02:07:39.092631,1,9.54
2026-02-05 02:07:39.223887,0,10.72
2026-02-05 02:07:39.223887,1,9.73
2026-02-05 02:07:39.353907,0,10.62
2026-02-05 02:07:39.353907,1,10.13
2026-02-05 02:07:39.483251,0,10.82
2026-02-05 02:07:39.483251,1,10.03
2026-02-05 02:07:39.614651,0,10.62
2026-02-05 02:07:39.614651,1,9.83
2026-02-05 02:07:39.742634,0,11.11
2026-02-05 02:07:39.742634,1,9.93
2026-02-05 02:07:39.871029,0,10.42
2026-02-05 02:07:39.871029,1,9.93
2026-02-05 02:07:40.001690,0,10.52
2026-02-05 02:07:40.001690,1,10.23
2026-02-05 02:07:40.130306,0,10.82
2026-02-05 02:07:40.130306,1,9.83
2026-02-05 02:07:40.261239,0,10.32
2026-02-05 02:07:40.261239,1,9.54
2026-02-05 02:07:40.392151,0,11.11
2026-02-05 02:07:40.392151,1,10.23
2026-02-05 02:07:40.522866,0,12.29
2026-02-05 02:07:40.522866,1,15.63
2026-02-05 02:07:40.659483,0,10.52
2026-02-05 02:07:40.659483,1,9.73
2026-02-05 02:07:40.790938,0,10.62
2026-02-05 02:07:40.790938,1,10.82
2026-02-05 02:07:40.921434,0,11.01
2026-02-05 02:07:40.921434,1,9.24
2026-02-05 02:07:41.050646,0,39.95
2026-02-05 02:07:41.050646,1,10.12
2026-02-05 02:07:41.188989,0,59.02
2026-02-05 02:07:41.188989,1,10.02
2026-02-05 02:07:41.317982,0,59.12
2026-02-05 02:07:41.317982,1,9.83
2026-02-05 02:07:41.448265,0,59.12
2026-02-05 02:07:41.448265,1,9.83
2026-02-05 02:07:41.576992,0,59.31
2026-02-05 02:07:41.576992,1,10.32
2026-02-05 02:07:41.710029,0,60.39
2026-02-05 02:07:41.710029,1,12.09
2026-02-05 02:07:41.842068,0,59.70
2026-02-05 02:07:41.842068,1,9.43
2026-02-05 02:07:41.970328,0,59.70
2026-02-05 02:07:41.970328,1,9.83
2026-02-05 02:07:42.100147,0,59.61
2026-02-05 02:07:42.100147,1,9.23
2026-02-05 02:07:42.231984,0,59.51
2026-02-05 02:07:42.231984,1,10.12
2026-02-05 02:07:42.360838,0,59.80
2026-02-05 02:07:42.360838,1,9.34
2026-02-05 02:07:42.492993,0,89.39
2026-02-05 02:07:42.492993,1,9.23
2026-02-05 02:07:42.620955,0,101.13
2026-02-05 02:07:42.620955,1,9.92
2026-02-05 02:07:42.747645,0,120.82
2026-02-05 02:07:42.747645,1,9.72
2026-02-05 02:07:42.876477,0,113.25
2026-02-05 02:07:42.876477,1,9.81
2026-02-05 02:07:43.006172,0,125.20
2026-02-05 02:07:43.006172,1,9.72
2026-02-05 02:07:43.136999,0,135.24
2026-02-05 02:07:43.136999,1,9.52
2026-02-05 02:07:43.266580,0,151.59
2026-02-05 02:07:43.266580,1,9.42
2026-02-05 02:07:43.397340,0,145.53
2026-02-05 02:07:43.397340,1,9.61
2026-02-05 02:07:43.525906,0,161.10
2026-02-05 02:07:43.525906,1,9.32
2026-02-05 02:07:43.658809,0,162.67
2026-02-05 02:07:43.658809,1,11.09
2026-02-05 02:07:43.788227,0,153.96
2026-02-05 02:07:43.788227,1,10.01
2026-02-05 02:07:43.918753,0,154.98
2026-02-05 02:07:43.918753,1,9.52
2026-02-05 02:07:44.047011,0,154.42
2026-02-05 02:07:44.047011,1,9.72
2026-02-05 02:07:44.179338,0,155.25
2026-02-05 02:07:44.179338,1,10.69
2026-02-05 02:07:44.307761,0,148.97
2026-02-05 02:07:44.307761,1,10.01
2026-02-05 02:07:44.439770,0,148.11
2026-02-05 02:07:44.439770,1,9.42
2026-02-05 02:07:44.567721,0,149.85
2026-02-05 02:07:44.567721,1,9.52
2026-02-05 02:07:44.696640,0,147.47
2026-02-05 02:07:44.696640,1,18.85
2026-02-05 02:07:44.833518,0,137.71
2026-02-05 02:07:44.833518,1,9.72
2026-02-05 02:07:44.961738,0,77.20
2026-02-05 02:07:44.961738,1,9.73
2026-02-05 02:07:45.090206,0,77.10
2026-02-05 02:07:45.090206,1,11.10
2026-02-05 02:07:45.221992,0,77.00
2026-02-05 02:07:45.221992,1,9.92
2026-02-05 02:07:45.350493,0,76.90
2026-02-05 02:07:45.350493,1,9.73
2026-02-05 02:07:45.483202,0,76.81
2026-02-05 02:07:45.483202,1,9.33
2026-02-05 02:07:45.613042,0,76.79
2026-02-05 02:07:45.613042,1,10.32
2026-02-05 02:07:45.743139,0,76.71
2026-02-05 02:07:45.743139,1,10.32
2026-02-05 02:07:45.871220,0,76.81
2026-02-05 02:07:45.871220,1,9.82
2026-02-05 02:07:46.003244,0,76.90
2026-02-05 02:07:46.003244,1,9.92
2026-02-05 02:07:46.134362,0,76.90
2026-02-05 02:07:46.134362,1,10.02
2026-02-05 02:07:46.263513,0,76.90
2026-02-05 02:07:46.263513,1,9.33
2026-02-05 02:07:46.391875,0,76.90
2026-02-05 02:07:46.391875,1,9.63
2026-02-05 02:07:46.524767,0,76.84
2026-02-05 02:07:46.524767,1,10.32
2026-02-05 02:07:46.651984,0,76.90
2026-02-05 02:07:46.651984,1,9.73
2026-02-05 02:07:46.779739,0,76.90
2026-02-05 02:07:46.779739,1,10.12
2026-02-05 02:07:46.909087,0,76.94
2026-02-05 02:07:46.909087,1,9.53
2026-02-05 02:07:47.038159,0,76.90
2026-02-05 02:07:47.038159,1,10.71
2026-02-05 02:07:47.166638,0,76.90
2026-02-05 02:07:47.166638,1,10.12
2026-02-05 02:07:47.294267,0,76.81
2026-02-05 02:07:47.294267,1,9.43
2026-02-05 02:07:47.426092,0,77.00
2026-02-05 02:07:47.426092,1,9.63
