timestamp,gpu,power_w
2026-02-06 18:32:16.596337,0,9.64
2026-02-06 18:32:16.623280,0,9.64
2026-02-06 18:32:16.648745,0,9.35
2026-02-06 18:32:16.678451,0,9.64
2026-02-06 18:32:16.705991,0,9.74
2026-02-06 18:32:16.737597,0,9.74
2026-02-06 18:32:16.767541,0,9.64
2026-02-06 18:32:16.796398,0,9.54
2026-02-06 18:32:16.827711,0,9.35
2026-02-06 18:32:16.856722,0,9.54
2026-02-06 18:32:16.887142,0,9.25
2026-02-06 18:32:16.916961,0,9.64
2026-02-06 18:32:16.947552,0,9.74
2026-02-06 18:32:16.977654,0,9.64
2026-02-06 18:32:17.007743,0,9.54
2026-02-06 18:32:17.037717,0,9.54
2026-02-06 18:32:17.065797,0,9.74
2026-02-06 18:32:17.095803,0,9.44
2026-02-06 18:32:17.124822,0,9.84
2026-02-06 18:32:17.156395,0,10.03
2026-02-06 18:32:17.185671,0,11.60
2026-02-06 18:32:17.216686,0,9.54
2026-02-06 18:32:17.246523,0,9.74
2026-02-06 18:32:17.276743,0,9.64
2026-02-06 18:32:17.305660,0,9.35
2026-02-06 18:32:17.334981,0,9.44
2026-02-06 18:32:17.365731,0,9.64
2026-02-06 18:32:17.395782,0,9.64
2026-02-06 18:32:17.425344,0,9.54
2026-02-06 18:32:17.456632,0,9.44
2026-02-06 18:32:17.485512,0,9.54
2026-02-06 18:32:17.514129,0,9.44
2026-02-06 18:32:17.544051,0,10.23
2026-02-06 18:32:17.575539,0,9.83
2026-02-06 18:32:17.604113,0,9.74
2026-02-06 18:32:17.632625,0,9.54
2026-02-06 18:32:17.663012,0,9.54
2026-02-06 18:32:17.692015,0,9.54
2026-02-06 18:32:17.721359,0,9.44
2026-02-06 18:32:17.749478,0,9.94
2026-02-06 18:32:17.781215,0,9.54
2026-02-06 18:32:17.809364,0,9.64
2026-02-06 18:32:17.836246,0,9.74
2026-02-06 18:32:17.867949,0,9.44
2026-02-06 18:32:17.898230,0,9.44
2026-02-06 18:32:17.928299,0,9.34
2026-02-06 18:32:17.959557,0,9.84
2026-02-06 18:32:17.989636,0,9.44
2026-02-06 18:32:18.020403,0,9.35
2026-02-06 18:32:18.049423,0,9.74
2026-02-06 18:32:18.079216,0,9.84
2026-02-06 18:32:18.107665,0,9.84
2026-02-06 18:32:18.139031,0,9.64
2026-02-06 18:32:18.169919,0,9.94
2026-02-06 18:32:18.200675,0,10.43
2026-02-06 18:32:18.233252,0,9.54
2026-02-06 18:32:18.262338,0,9.64
2026-02-06 18:32:18.295255,0,9.44
2026-02-06 18:32:18.324975,0,9.44
2026-02-06 18:32:18.356512,0,10.13
2026-02-06 18:32:18.388232,0,9.44
2026-02-06 18:32:18.418198,0,9.74
2026-02-06 18:32:18.447699,0,9.64
2026-02-06 18:32:18.478580,0,9.25
2026-02-06 18:32:18.509453,0,9.44
2026-02-06 18:32:18.539402,0,9.44
2026-02-06 18:32:18.569882,0,10.03
2026-02-06 18:32:18.598813,0,9.64
2026-02-06 18:32:18.628281,0,9.34
