time,id,pm1,sum
2026-02-05 01:53:44.020012,0,102.3,102.3
2026-02-05 01:53:45.020679,1,102.2,102.2
2026-02-05 01:53:46.021589,2,102.0,102.0
2026-02-05 01:53:47.022526,3,102.1,102.1
2026-02-05 01:53:48.023592,4,102.0,102.0
2026-02-05 01:53:49.024413,5,102.1,102.1
2026-02-05 01:53:50.025460,6,102.0,102.0
2026-02-05 01:53:51.026516,7,102.0,102.0
2026-02-05 01:53:52.027617,8,102.0,102.0
2026-02-05 01:53:53.028674,9,102.0,102.0
2026-02-05 01:53:54.029725,10,102.2,102.2
2026-02-05 01:53:55.030775,11,102.0,102.0
2026-02-05 01:53:56.031931,12,102.2,102.2
2026-02-05 01:53:57.032989,13,102.2,102.2
2026-02-05 01:53:58.034028,14,102.2,102.2
2026-02-05 01:53:59.035067,15,102.0,102.0
2026-02-05 01:54:00.036120,16,102.1,102.1
2026-02-05 01:54:01.037171,17,102.0,102.0
2026-02-05 01:54:02.038206,18,102.0,102.0
2026-02-05 01:54:03.039244,19,102.2,102.2
2026-02-05 01:54:04.040346,20,102.1,102.1
2026-02-05 01:54:05.041387,21,102.3,102.3
2026-02-05 01:54:06.042130,22,102.2,102.2
2026-02-05 01:54:07.043184,23,102.3,102.3
2026-02-05 01:54:08.044231,24,102.2,102.2
2026-02-05 01:54:09.045312,25,102.2,102.2
2026-02-05 01:54:10.046436,26,102.3,102.3
2026-02-05 01:54:11.047510,27,102.4,102.4
2026-02-05 01:54:12.048591,28,102.6,102.6
2026-02-05 01:54:13.049662,29,102.4,102.4
2026-02-05 01:54:14.050732,30,102.5,102.5
2026-02-05 01:54:15.051806,31,102.3,102.3
2026-02-05 01:54:16.052872,32,102.3,102.3
2026-02-05 01:54:17.053936,33,102.2,102.2
2026-02-05 01:54:18.055004,34,102.2,102.2
2026-02-05 01:54:19.056075,35,102.0,102.0
2026-02-05 01:54:20.057115,36,101.9,101.9
2026-02-05 01:54:21.057727,37,102.0,102.0
2026-02-05 01:54:22.058771,38,101.9,101.9
2026-02-05 01:54:23.059848,39,102.0,102.0
2026-02-05 01:54:24.060952,40,101.9,101.9
2026-02-05 01:54:25.062028,41,101.9,101.9
2026-02-05 01:54:26.063128,42,102.1,102.1
2026-02-05 01:54:27.064304,43,102.2,102.2
2026-02-05 01:54:28.065435,44,102.6,102.6
